Termo,Definição técnica,Definição simples,Linguagem simples
Valor venal,Estimativa de preço de um imóvel feita pelo poder público para uma transação de propriedade. A análise do valor do imóvel é feita pela prefeitura da cidade onde o bem está localizado.,"É o valor do imóvel quando este se encontra em condições normais (fora de crises, inflações etc.)",Valor utilizado para cálculo do ITBI.
Transmissão causa mortis,Quando há morte de alguém com inventário de bens a serem distribuídos para herdeiros.,Quando os herdeiros recebem um imóvel em decorrência do falecimento do proprietário.,Transmissão de um bem em virtude de falecimento.
Realização de capital / Incorporação de capital,"É o adimplemento da obrigação do acionista de efetuar a prestação correspondente às ações subscritas ou adquiridas, isto é, de pagar o preço de emissão das participações societárias adquiridas.",Quando o acionista paga o preço das suas participações como sócio de uma empresa.,Pagamento das obrigações de sócio de uma empresa.
Direitos reais,É o conjunto de princípios e regras que disciplina uma relação jurídica entre pessoas tendo em vista bens.,Conjunto de normas que pautam uma relação que envolva bens.,Aquilo que regula atos que envolvem bens.
Contribuinte de ITBI,"Contribuinte do Imposto é o adquirente do bem ou direito sobre imóvel, assim entendida a pessoa em favor da qual se fará a
transmissão intervivos.",É a pessoa que adquire um bem ou um direito sobre o imóvel através de uma transmissão entre pessoas vivas.,É a pessoa que compra um bem ou um direito sobre imóvel a partir da transferência de outra pessoa viva.
Fundo de Equalização de Receita,"O Fundo de Equalização da Receita (FER) foi criado por meio do art. 149-A da Lei Orgânica do Município de Niterói, com a redação acrescida pela emenda nº 41/2019, e regulamentado pelo Decreto nº 13.215/2019 e pela Lei nº 3.633 de 15 de setembro de 2021. Seus objetivos principais consistem em promover estabilização fiscal no município de Niterói e formar poupança para que gerações futuras possam se beneficiar dos recursos oriundos da exploração de petróleo, recursos esses caracterizados por sua finitude.",O Fundo de Equalização da Receita (FER) é um mecanismo que pretende estabilizar a situação fiscal em Niterói e formar uma poupança para que gerações futuras possam se beneficiar dos recursos obtidos com a exploração de petróleo.,É um fundo de investimentos para estabilizar a situação fiscal de Niterói e poupar recursos para projetos futuros.
Participação Especial,A participação especial é uma compensação financeira extraordinária devida pelos concessionários de exploração e produção de petróleo ou gás natural para campos de grande volume de produção.,"É uma compensação financeira paga pelos concessionários de exploração e produção de petróleo ou gás natural, no caso de campos de grande volume de produção ou de alta rentabilidade.",É uma compensação financeira sobre a produção e exploração de petróleo e gás.
Frustração de receita,"Ocorre quando a receita de royalties ou de participação especial seja inferior ao estimado pela Agência Nacional de Petróleo para o ano fiscal corrente e a estimada na Lei Orçamentária Anual – LOA. Caso ocorra, o fundo poderá cobrir até 50% da frustração da receita estimada, desde que o valor não represente mais do que 20% do montante total do Fundo naquele ano.",É quando a receita proveniente dos royalties ou da participação especial é inferior ao estimado para o ano fiscal em questão.,Quando a receita dos royalties e da participação especial é menor que o esperado.
Ativos financeiros,"Os ativos financeiros são os produtos do mercado financeiro de capitais que existem para serem negociados. Eles são intangíveis, mas podem ser convertidos em dinheiro, ou seja, eles possuem maior liquidez do que os ativos tangíveis. Dessa maneira, são títulos que podem gerar benefícios futuros.",São produtos do mercado financeiro de capitais que podem ser negociados e/ou convertidos em dinheiro a fim de gerar benefícios futuros.,São bens ou direitos financeiros que uma instituição ou pessoa possui e que podem gerar rendimentos.
Alocação de ativos,"A alocação de ativos é o processo de seleção, aplicação, balanceamento e análise de ativos que irão compor uma carteira de investimentos. Seu objetivo é alinhar o perfil e as expectativas do investidor com a sua carteira, maximizando seus ganhos, reduzindo os custos envolvidos e mitigando possíveis riscos. Ela deve considerar, além dos ativos específicos, a diversificação dos investimentos, a tolerância de risco por parte do investidor e também o cenário macroeconômico.","Consiste no estudo da alocação de determinados ativos que podem compor uma carteira de investimentos, a fim de conseguir alinhar o perfil e as expectativas dos investidores com a sua carteira, considerando fatores internos e externos.",É o estudo dos ativos a serem alocados na carteira de investimentos.
Fundo soberano,"É uma categoria de fundo de investimento que possui um objetivo predeterminado. Geralmente, seus recursos são oriundos dos excedentes de arrecadação fiscal, lucro de estatais e ganhos em royalties.","É um tipo de fundo de investimento com um objetivo inicial, geralmente feito com recursos oriundos dos ganhos em royalties.",É um fundo de investimento feito com recursos de royalties.
Taxa Selic,"​A Selic é a taxa básica de juros da economia. É o principal instrumento de política monetária utilizado pelo Banco Central (BC) para controlar a inflação. Ela influencia todas as taxas de juros do país, como as taxas de juros dos empréstimos, dos financiamentos e das aplicações financeiras.",É a taxa de juros paga pelo governo sobre sua dívida responsável por controlar a inflação e que influencia todas as taxas de juros do país.,"É a taxa de juros paga pelo governo, sendo a principal taxa de juros do país."
Risco fiscal,"Riscos Fiscais são possibilidades de ocorrências de eventos capazes de afetar as contas públicas, comprometendo o alcance dos resultados fiscais estabelecidos como metas e objetivos.",É quando ocorrem algumas situações que podem comprometer os resultados fiscais almejados.,É o risco dos resultados fiscais não ocorrerem como esperado.
Rentabilidade absoluta,"É a lucratividade que um ativo obtém em um período de tempo, ou seja, sua valorização ou depreciação expressa em porcentagem.",Lucratividade do ativo durante um período de tempo.,É a porcentagem de lucro de determinado ativo investido em um período de tempo.
Rentabilidade relativa,"Rentabilidade que um ativo obtém em um determinado período de tempo em relação a um ponto de referência ou benchmark, com a valorização ou depreciação expressa em relação ao benchmark.","É quando um ativo rende mais ou menos em um determinado período de tempo em relação ao Índice de Referência (Benchmark), que é utilizado como comparação para avaliação do desempenho de investimentos.",É o lucro vindo de determinado ativo investido em um período de tempo e em relação ao Índice de Referência (como a inflação – IPCA).
Retorno real,"Aquilo que é ganho em um investimento após a contabilização de impostos e inflação. Uma taxa de retorno real é o retorno percentual anual realizado em um investimento, que é ajustado para mudança nos preços devido à inflação ou outros efeitos externos.",É o lucro de determinado ativo investido depois do desconto de impostos e taxas de inflação.,É o lucro do investimento depois de descontar os impostos e taxas de inflação.
Tesouro IPCA,"O Tesouro IPCA é um ativo de renda fixa. A sua rentabilidade está atrelada ao principal índice de inflação no Brasil, o IPCA, mais uma taxa pré-fixada que varia conforme a percepção de risco do mercado.","É um investimento de renda fixa atrelado ao principal índice de inflação no Brasil, o Índice de Preços ao Consumidor Amplo (IPCA) e a uma taxa fixa que varia de acordo com a percepção sobre o risco de mercado.",É um investimento que rende a partir do Índice de Preços ao Consumidor Amplo (IPCA).
Patrimônio Líquido,"O patrimônio líquido é a diferença entre o ativo e o passivo da organização, ou seja, entre os bens e direitos que ela possui e suas obrigações.",É a diferença entre o que a organização tem (bens e direitos) e tudo que ela deve (obrigações).,É o valor da soma dos bens de uma organização.
Carteiras de fundos públicos,"O patrimônio dos fundos é investido em ativos financeiros públicos, que compõem o que se chama de carteira do fundo.",É onde fica o conjunto de ativos financeiros que foram investidos na dívida pública.,É onde estão os ativos investidos em dívidas públicas.
Risco de mercado,"O risco de mercado caracteriza-se pela possível ocorrência de flutuação nos valores de mercado de posições detidas pela carteira de investimentos, decorrente da volatilidade e das avaliações de preço imprevisíveis que o mercado pode incorrer.",São as possíveis instabilidades que podem ser enfrentadas devido às mudanças no mercado.,É o risco de instabilidades devido a movimentos nos preços nos mercados.
Risco de crédito,"Entende-se por risco de crédito o risco de os emissores dos ativos financeiros que integram a carteira não cumprirem com suas respectivas obrigações financeiras nos termos pactuados. Compreende também o risco de perda de valor em função da deterioração da classificação de risco do emissor, da capacidade de pagamento do emissor ou das garantias.",É o risco das partes envolvidas no processo de aplicação não cumprirem suas obrigações contratuais.,É toda a possibilidade de descumprimento contratual existente em uma transação financeira.
Risco de liquidez,O risco de liquidez se caracteriza pela possibilidade da instituição ou investidor não possui recursos em saldo para honrar obrigações com despesas financeiras. Costuma ocorrer quando a empresa está com altos valores de dívidas a serem liquidadas no curto prazo e poucas disponibilidades de caixa para pagar estas dívidas.,É quando a instituição ou investidor não possui recursos suficientes para cumprir as suas obrigações e despesas financeiras.,É a incapacidade de uma instituição ou investidor cumprir com suas obrigações e despesas financeiras.
Risco sistêmico,"O risco sistêmico é aquele que pode influenciar o mercado como um todo, ou seja, qualquer investimento executado dentro daquele mercado está exposto ao risco sistêmico. Se contrapõe ao risco não sistêmico, que é próprio de uma empresa específica ou do segmento em que ela atua. Exemplo de risco sistêmico: guerra. Exemplo de risco não sistêmico: seca provoca aumento do preço de grãos e afeta a lucratividade de empresas que produzem massa.","É um tipo de risco que influencia o mercado financeiro como um todo, não sendo específico de uma organização.",É o risco que pode influenciar o mercado financeiro como um todo.
Relação fiduciária,"A relação entre o investidor e o gestor é chamada de relação fiduciária. Trata-se de uma relação de confiança, de alguém que transfere para um terceiro a responsabilidade de administrar o seu dinheiro.",É a relação entre alguém que investe o dinheiro e alguém que está responsável por administrar esse dinheiro.,É a relação entre o investidor e o gestor do dinheiro.
Fundos estruturados,"Fundo desenvolvido para financiar determinados projetos, entre eles: imobiliários, florestais, de participação em empresas e direitos creditórios (recebíveis). Busca ativos que garantam retornos acima de suas metas atuariais. Os investimentos em fundos estruturados têm caráter típico de longo prazo.",É um fundo de longo prazo onde há investimento em determinados projetos.,É um fundo de longo prazo de financiamento de projetos.
Renda variável,"A renda variável corresponde a uma classe de investimentos que, junto à renda fixa, engloba os ativos e produtos financeiros disponíveis no mercado. Especificamente, ela reúne investimentos cujo retorno pode variar ao longo do tempo, com oscilações por conta das negociações dos ativos, que ocorrem diariamente.","É todo tipo de investimento que não garante nem um ganho fixo nem a devolução do total que foi aplicado, podendo variar para mais ou para menos.","É o tipo de investimento no qual você, no momento da aplicação, não consegue saber o quanto o dinheiro vai render."
Risco soberano,"O risco soberano expressa a probabilidade de insolvência de um país frente aos investidores estrangeiros. Aqui, o instrumento é chamado de risco-Brasil.",É um tipo de risco que demonstra a chance de descumprimento da obrigação de um país para com as suas dívidas.,É o risco de um país não cumprir com suas obrigações financeiras.
Títulos públicos,Os Títulos Públicos são emitidos pelo Governo Federal com o objetivo de captar recursos para o financiamento da dívida pública e das atividades governamentais.,É a captação de recursos pelo Governo Federal para financiamento de dívidas públicas e atividades governamentais.,É quando o governo capta recursos para financiar seus gastos.
Operações compromissadas,As operações compromissadas podem ser entendidas como uma dinâmica de compra e recompra de ativos. Isso porque elas são um empréstimo que tem como lastro um título de renda fixa e possuem prazo determinado para a devolução.,É quando um ativo é vendido com o compromisso de ser recomprado em um prazo determinado.,É o empréstimo de um ativo com prazo de devolução.
Cota de fundo de investimento,"A cota de um fundo de investimento é uma fração ideal do patrimônio desse fundo. Quando um investidor aplica seus recursos em um fundo, recebe um número de cotas proporcional ao valor que ele investiu.",É uma parte do valor do patrimônio do fundo.,É uma parte do valor de um fundo de investimento.
Valor presente,O valor presente é um termo utilizado para indicar quanto um montante vale atualmente.,É o valor atual do montante.,É o preço atual.
Valor justo,"O valor justo é o preço que seria recebido pela venda de um ativo ou que seria pago pela transferência de um passivo em uma transação não forçada entre participantes do mercado na data de mensuração. Considerando a definição, depreende-se que valor justo é uma avaliação baseada no mercado e não em critérios definidos pela entidade detentora do ativo.",É o preço da venda de um ativo ou da transferência de um passivo considerando uma avaliação baseada no mercado.,É um preço estipulado de acordo com uma avaliação baseada no mercado.
Política de Investimentos,"A política de investimentos do Fundo de Equalização da Receita (FER), em sua primeira edição, tem a finalidade de fundamentar e nortear todos os processos de tomada de decisão referente aos recursos do FER, tendo em vista as melhores técnicas e práticas de mercado com aplicabilidade no Setor Público. A política de investimentos se sustenta com a observância da legislação e normas vigentes, bem como as políticas de investimento e condutas já consolidadas praticadas por fundos públicos de caráter similar.","É a política que pretende nortear todos os processos de decisões e ações referentes aos recursos do Fundo de Equalização de Receita, tendo em vista as técnicas e práticas de investimentos consolidadas por outros fundos do Setor Público.",É a política que vai guiar todos os processos de decisões e ações referentes aos recursos do Fundo de Equalização de Receita.
Aportes,"Aporte financeiro é a injeção de capital ancorada por um investidor ou fundo de investimento em algum projeto. Ao aportar recursos, o investidor contribui financeiramente com a iniciativa, subsidiando-a na expectativa de obter retorno positivo.",É um investimento financeiro de terceiros em determinado projeto com o objetivo de obter retorno positivo.,É quando um investidor coloca mais dinheiro em determinado projeto.
Retiradas,"É o desenvestimento, a retirada de valores a partir da venda de um ativo financeiro.",É a venda do ativo financeiro em troca do seu valor em moeda.,É a venda do ativo e sua conversão em dinheiro.
Rendimentos,"O rendimento é o retorno financeiro resultante de um investimento. Em outras palavras, o retorno é a diferença entre o valor inicial investido e o valor total resgatado.",É o quanto determinado investimento rende comparando o seu valor inicial e final.,É o quanto o valor que você investiu retornou de lucro.
Governança,A governança é um conjunto de regras e normas que definem as responsabilidades e ajudam a desenhar os processos para alcançar os objetivos do Fundo. A atual estrutura de governança possibilita a mitigação de riscos relativos à operacionalização dos investimentos e garante a autonomia das decisões colegiadas.,São regras que definem as responsabilidades durante o processo de tomada de decisão para alcance dos objetivos do Fundo de Equalização de Receita.,São as regras criadas para alcançar os objetivos do Fundo de Equalização da Receita
Conselho Gestor,"O Conselho Gestor é responsável por deliberar sobre assuntos referentes à gestão e operacionalização do Fundo de Equalização da Receita, bem como definir diretrizes e estratégias da aplicação de seus recursos por meio de sua Política de Investimentos.",É o setor responsável por decidir estratégias referentes ao Fundo de Equalização de Receita e suas aplicações.,Responsável pela elaboração das estratégias de aplicação financeira dos recursos do Fundo de Equalização da Receita.
Comitê de Investimentos,"O Comitê de Investimentos é o órgão colegiado responsável por elaborar relatórios, analisar e avaliar estratégias e adotar ações referentes à aplicação financeira dos recursos do FER, observadas as diretrizes e alçadas emanadas do Conselho Gestor e da Política de Investimentos.",É o órgão responsável pela avaliação estratégica de decisões e ações a serem tomadas referentes à aplicação financeira dos recursos do Fundo de Equalização da Receita.,Responsável pela avaliação das estratégias de aplicação financeira dos recursos do Fundo de Equalização da Receita.
Royalties,"Os royalties representam uma quantia cobrada pelo detentor de direitos sobre um bem, em troca da possibilidade de uso, exploração ou comercialização por um interessado.","É a quantia cobrada para uso, exploração ou comercialização de um determinado bem.","É a cobrança pela exploração e comercialização de bens e recursos, como o petróleo."
Volatilidade,"Volatilidade é uma medida para se analisar a variação de determinado ativo. Quanto maior a volatilidade, maior o risco de se perder ou a possibilidade de se ganhar dinheiro em transações. Quanto menor a volatilidade, mais estável é a cotação do ativo, dito de outro modo, menos o preço varia com o tempo.",É uma forma de medir se determinado ativo e a sua variação de cotação e preço são mais ou menos estáveis.,É uma medida de estabilidade de um ativo e sua variação de cotação e preço.
Índice Sharpe,O índice de Sharpe é amplamente utilizado na avaliação de fundos de investimento. Esse índice expressa a relação risco versus retorno e informa se o fundo oferece rentabilidade compatível com o risco a que o investidor está exposto.,É um índice utilizado como instrumento para avaliar os riscos e retornos de determinados investimentos.,É uma forma de avaliação da relação entre retorno e riscos possíveis na realização de determinados investimentos.
CDI,"O CDI (Certificado de Depósito Interbancário) é uma taxa com lastro em operações realizadas entre instituições bancárias. Acompanha a taxa Selic, sendo o benchmark mais utilizado para investimentos em renda fixa.",É uma taxa existente a partir de operações realizadas entre instituições bancárias.,É uma taxa interbancária.
Curvas de juros,A curva de juros é uma representação gráfica das taxas de juros exigidas ou esperadas pelo mercado para determinados prazos no próprio mercado futuro,É a representação das futuras taxas de juros exigidas ou esperadas pelo mercado.,É a representação das futuras taxas de juros de acordo com a percepção do mercado.
Renda Fixa,"Renda Fixa é um tipo de investimento onde as pessoas conhecem ou podem prever a rentabilidade, antes mesmo de realizar a operação.",É um tipo de investimento onde é possível saber quanto o investimento vai render antes mesmo de ser realizado.,É um tipo de investimento onde se sabe o quanto irá se lucrar.
Aplicações no Tesouro Nacional,"São aplicações na compra da dívida do governo, são as aplicações consideradas mais seguras em um país.",São investimentos na dívida de um governo. São os investimentos considerados com menor risco em um país.,"São investimentos na dívida do governo, são considerados os investimentos mais seguros em um país."
